INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: NO JSP Support for /webadmin, did not find org.apache.jasper.servlet.JspServlet
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM com.sun.jersey.api.core.PackagesResourceConfig init
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Scanning for root resource and provider classes in the packages:
INFO   | jvm 1    | 2012/10/01 14:35:33 |   org.neo4j.server.webadmin.rest
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM com.sun.jersey.api.core.ScanningResourceConfig logClasses
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Root resource classes found:
INFO   | jvm 1    | 2012/10/01 14:35:33 |   class org.neo4j.server.webadmin.rest.RootService
INFO   | jvm 1    | 2012/10/01 14:35:33 |   class org.neo4j.server.webadmin.rest.MonitorService
INFO   | jvm 1    | 2012/10/01 14:35:33 |   class org.neo4j.server.webadmin.rest.JmxService
INFO   | jvm 1    | 2012/10/01 14:35:33 |   class org.neo4j.server.webadmin.rest.ConsoleService
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM com.sun.jersey.api.core.ScanningResourceConfig init
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: No provider classes found.
INFO   | jvm 1    | 2012/10/01 14:35:33 | Oct 01, 2012 2:35:33 PM com.sun.jersey.server.impl.application.WebApplicationImpl _initiate
INFO   | jvm 1    | 2012/10/01 14:35:33 | INFO: Initiating Jersey application, version 'Jersey: 1.9 09/02/2011 11:17 AM'
INFO   | jvm 1    | 2012/10/01 14:35:34 | Oct 01, 2012 2:35:34 PM com.sun.jersey.api.core.PackagesResourceConfig init
INFO   | jvm 1    | 2012/10/01 14:35:34 | INFO: Scanning for root resource and provider classes in the packages:
INFO   | jvm 1    | 2012/10/01 14:35:34 |   org.neo4j.server.rest.web
INFO   | jvm 1    | 2012/10/01 14:35:34 | Oct 01, 2012 2:35:34 PM com.sun.jersey.api.core.ScanningResourceConfig logClasses
INFO   | jvm 1    | 2012/10/01 14:35:34 | INFO: Root resource classes found:
INFO   | jvm 1    | 2012/10/01 14:35:34 |   class org.neo4j.server.rest.web.RestfulGraphDatabase
INFO   | jvm 1    | 2012/10/01 14:35:34 |   class org.neo4j.server.rest.web.ResourcesService
INFO   | jvm 1    | 2012/10/01 14:35:34 |   class org.neo4j.server.rest.web.BatchOperationService
INFO   | jvm 1    | 2012/10/01 14:35:34 |   class org.neo4j.server.rest.web.ExtensionService
INFO   | jvm 1    | 2012/10/01 14:35:34 |   class org.neo4j.server.rest.web.DatabaseMetadataService
INFO   | jvm 1    | 2012/10/01 14:35:34 | Oct 01, 2012 2:35:34 PM com.sun.jersey.api.core.ScanningResourceConfig logClasses
INFO   | jvm 1    | 2012/10/01 14:35:34 | INFO: Provider classes found:
INFO   | jvm 1    | 2012/10/01 14:35:34 |   class org.neo4j.server.rest.web.DatabaseBlockedExceptionMapper
INFO   | jvm 1    | 2012/10/01 14:35:34 | Oct 01, 2012 2:35:34 PM com.sun.jersey.server.impl.application.WebApplicationImpl _initiate
INFO   | jvm 1    | 2012/10/01 14:35:34 | INFO: Initiating Jersey application, version 'Jersey: 1.9 09/02/2011 11:17 AM'
INFO   | jvm 1    | 2012/10/01 14:35:34 | Oct 01, 2012 2:35:34 PM com.sun.jersey.api.core.PackagesResourceConfig init
INFO   | jvm 1    | 2012/10/01 14:35:34 | INFO: Scanning for root resource and provider classes in the packages:
INFO   | jvm 1    | 2012/10/01 14:35:34 |   org.neo4j.server.rest.discovery
INFO   | jvm 1    | 2012/10/01 14:35:34 | Oct 01, 2012 2:35:34 PM com.sun.jersey.api.core.ScanningResourceConfig logClasses
INFO   | jvm 1    | 2012/10/01 14:35:34 | INFO: Root resource classes found:
INFO   | jvm 1    | 2012/10/01 14:35:34 |   class org.neo4j.server.rest.discovery.DiscoveryService
INFO   | jvm 1    | 2012/10/01 14:35:34 | Oct 01, 2012 2:35:34 PM com.sun.jersey.api.core.ScanningResourceConfig init
INFO   | jvm 1    | 2012/10/01 14:35:34 | INFO: No provider classes found.
INFO   | jvm 1    | 2012/10/01 14:35:34 | Oct 01, 2012 2:35:34 PM com.sun.jersey.server.impl.application.WebApplicationImpl _initiate
INFO   | jvm 1    | 2012/10/01 14:35:34 | INFO: Initiating Jersey application, version 'Jersey: 1.9 09/02/2011 11:17 AM'
INFO   | jvm 1    | 2012/10/01 14:35:34 | Oct 01, 2012 2:35:34 PM org.mortbay.log.Slf4jLog info
INFO   | jvm 1    | 2012/10/01 14:35:34 | INFO: Started SelectChannelConnector@localhost:7474
INFO   | jvm 1    | 2012/10/01 14:35:34 | Oct 01, 2012 2:35:34 PM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 14:35:34 | INFO: Server started on [http://localhost:7474/]
INFO   | jvm 1    | 2012/10/01 14:35:34 | Load class FusionFUSE successfully!
INFO   | jvm 1    | 2012/10/01 14:35:34 | Ready to launch FusionFUSE
INFO   | jvm 1    | 2012/10/01 14:46:16 | Load class FusionFUSE successfully!
INFO   | jvm 1    | 2012/10/01 14:46:16 | Ready to launch FusionFUSE
INFO   | jvm 1    | 2012/10/01 14:46:58 | Load class FusionFUSE successfully!
INFO   | jvm 1    | 2012/10/01 14:46:58 | Ready to launch FusionFUSE
INFO   | jvm 1    | 2012/10/01 14:50:38 | Oct 01, 2012 2:50:38 PM spade.reporter.FusionFUSE receivefile
INFO   | jvm 1    | 2012/10/01 14:50:38 | INFO: Enter RECEIVE FILE ================================
INFO   | jvm 1    | 2012/10/01 14:50:38 | Oct 01, 2012 2:50:38 PM spade.reporter.FusionFUSE receivefile
INFO   | jvm 1    | 2012/10/01 14:50:38 | INFO: Putting remote File vertex:
INFO   | jvm 1    | 2012/10/01 14:50:38 | type:Artifact|subtype:File|hostaddress:216.47.142.248|filename:love|path:/home/cshou/DataSys/PAFS/FusionFS/fusionFS/fusion_root/love|size:13|lastmodified_unix:1349121038000|lastmodified_simple:Mon Oct 1 14:50:38 2012
INFO   | jvm 1    | 2012/10/01 14:50:38 | Oct 01, 2012 2:50:38 PM spade.reporter.FusionFUSE receivefile
INFO   | jvm 1    | 2012/10/01 14:50:38 | INFO: Putting local File vertex:
INFO   | jvm 1    | 2012/10/01 14:50:38 | type:Artifact|subtype:File|hostaddress:127.0.0.1|filename:love|path:/home/cshou/DataSys/PAFS/FusionFS/fusionFS/fusion_root/love|size:13|lastmodified_unix:1349121038000|lastmodified_simple:Mon Oct 1 14:50:38 2012
INFO   | jvm 1    | 2012/10/01 14:50:38 | Oct 01, 2012 2:50:38 PM spade.reporter.FusionFUSE receivefile
INFO   | jvm 1    | 2012/10/01 14:50:38 | INFO: Putting WasTransferredFrom egde:
INFO   | jvm 1    | 2012/10/01 14:50:38 | type:WasTransferredFrom
INFO   | jvm 1    | 2012/10/01 14:51:35 | Oct 01, 2012 2:51:35 PM spade.reporter.FusionFUSE receivefile
INFO   | jvm 1    | 2012/10/01 14:51:35 | INFO: Enter RECEIVE FILE ================================
INFO   | jvm 1    | 2012/10/01 14:51:35 | Oct 01, 2012 2:51:35 PM spade.reporter.FusionFUSE read
INFO   | jvm 1    | 2012/10/01 14:51:35 | INFO: Enter READ ================================
INFO   | jvm 1    | 2012/10/01 14:51:35 | Oct 01, 2012 2:51:35 PM spade.reporter.FusionFUSE receivefile
INFO   | jvm 1    | 2012/10/01 14:51:35 | INFO: Putting remote File vertex:
INFO   | jvm 1    | 2012/10/01 14:51:35 | type:Artifact|subtype:File|hostaddress:216.47.142.248|filename:love|path:/home/cshou/DataSys/PAFS/FusionFS/fusionFS/fusion_root/love|size:0|lastmodified_unix:0|lastmodified_simple:Wed Dec 31 18:00:00 1969
INFO   | jvm 1    | 2012/10/01 14:51:35 | Oct 01, 2012 2:51:35 PM spade.reporter.FusionFUSE read
INFO   | jvm 1    | 2012/10/01 14:51:35 | INFO: Trying to reach process with PID=7224
INFO   | jvm 1    | 2012/10/01 14:51:35 | Oct 01, 2012 2:51:35 PM spade.reporter.FusionFUSE receivefile
INFO   | jvm 1    | 2012/10/01 14:51:35 | INFO: Putting local File vertex:
INFO   | jvm 1    | 2012/10/01 14:51:35 | type:Artifact|subtype:File|hostaddress:127.0.0.1|filename:love|path:/home/cshou/DataSys/PAFS/FusionFS/fusionFS/fusion_root/love|size:0|lastmodified_unix:0|lastmodified_simple:Wed Dec 31 18:00:00 1969
INFO   | jvm 1    | 2012/10/01 14:51:35 | Oct 01, 2012 2:51:35 PM spade.reporter.FusionFUSE createProgramVertex
INFO   | jvm 1    | 2012/10/01 14:51:35 | SEVERE: null
INFO   | jvm 1    | 2012/10/01 14:51:35 | java.io.FileNotFoundException: /proc/7224/status (No such file or directory)
INFO   | jvm 1    | 2012/10/01 14:51:35 | 	at java.io.FileInputStream.open(Native Method)
INFO   | jvm 1    | 2012/10/01 14:51:35 | 	at java.io.FileInputStream.<init>(FileInputStream.java:138)
INFO   | jvm 1    | 2012/10/01 14:51:35 | 	at java.io.FileInputStream.<init>(FileInputStream.java:97)
INFO   | jvm 1    | 2012/10/01 14:51:35 | 	at java.io.FileReader.<init>(FileReader.java:58)
